danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.645,0.713,6,-5.355,1,0.0393,0.00835,0.0,0.113,0.566,74.989,audio_features,2Z8WuEywRWYTKe1NybPQEW,spotify:track:2Z8WuEywRWYTKe1NybPQEW,https://api.spotify.com/v1/tracks/2Z8WuEywRWYTKe1NybPQEW,https://api.spotify.com/v1/audio-analysis/2Z8WuEywRWYTKe1NybPQEW,214507,4
0.666,0.83,0,-5.715,1,0.0751,0.0123,0.0,0.191,0.702,113.03,audio_features,6JV2JOEocMgcZxYSZelKcc,spotify:track:6JV2JOEocMgcZxYSZelKcc,https://api.spotify.com/v1/tracks/6JV2JOEocMgcZxYSZelKcc,https://api.spotify.com/v1/audio-analysis/6JV2JOEocMgcZxYSZelKcc,236002,4
0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,audio_features,1zi7xx7UVEFkmKfv06H8x0,spotify:track:1zi7xx7UVEFkmKfv06H8x0,https://api.spotify.com/v1/tracks/1zi7xx7UVEFkmKfv06H8x0,https://api.spotify.com/v1/audio-analysis/1zi7xx7UVEFkmKfv06H8x0,173987,4
0.664,0.714,7,-6.645,0,0.111,0.0353,8.42e-06,0.0843,0.71,101.969,audio_features,0vbtURX4qv1l7besfwmnD8,spotify:track:0vbtURX4qv1l7besfwmnD8,https://api.spotify.com/v1/tracks/0vbtURX4qv1l7besfwmnD8,https://api.spotify.com/v1/audio-analysis/0vbtURX4qv1l7besfwmnD8,197933,4
0.503,0.843,10,-4.991,0,0.316,0.0487,0.0,0.344,0.778,128.63,audio_features,5YHR8wBR5jXfGtP766NiAT,spotify:track:5YHR8wBR5jXfGtP766NiAT,https://api.spotify.com/v1/tracks/5YHR8wBR5jXfGtP766NiAT,https://api.spotify.com/v1/audio-analysis/5YHR8wBR5jXfGtP766NiAT,203105,4
0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803,audio_features,1i1fxkWeaMmKEB4T7zqbzK,spotify:track:1i1fxkWeaMmKEB4T7zqbzK,https://api.spotify.com/v1/tracks/1i1fxkWeaMmKEB4T7zqbzK,https://api.spotify.com/v1/audio-analysis/1i1fxkWeaMmKEB4T7zqbzK,208373,4
0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,audio_features,3CRDbSIZ4r5MsZ0YwxuEkn,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,https://api.spotify.com/v1/tracks/3CRDbSIZ4r5MsZ0YwxuEkn,https://api.spotify.com/v1/audio-analysis/3CRDbSIZ4r5MsZ0YwxuEkn,202333,4
0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786,audio_features,7wMq5n8mYSKlQIGECKUgTX,spotify:track:7wMq5n8mYSKlQIGECKUgTX,https://api.spotify.com/v1/tracks/7wMq5n8mYSKlQIGECKUgTX,https://api.spotify.com/v1/audio-analysis/7wMq5n8mYSKlQIGECKUgTX,202533,4
0.594,0.749,3,-6.251,1,0.0677,0.00188,0.000139,0.0869,0.344,130.064,audio_features,0Mn3amMRMoabaoTf1Publ4,spotify:track:0Mn3amMRMoabaoTf1Publ4,https://api.spotify.com/v1/tracks/0Mn3amMRMoabaoTf1Publ4,https://api.spotify.com/v1/audio-analysis/0Mn3amMRMoabaoTf1Publ4,205746,4
0.331,0.55,0,-6.483,1,0.0272,0.605,3.96e-06,0.192,0.429,177.734,audio_features,70C4NyhjD5OZUMzvWZ3njJ,spotify:track:70C4NyhjD5OZUMzvWZ3njJ,https://api.spotify.com/v1/tracks/70C4NyhjD5OZUMzvWZ3njJ,https://api.spotify.com/v1/audio-analysis/70C4NyhjD5OZUMzvWZ3njJ,339000,3
