danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.645,0.713,6,-5.355,1,0.0393,0.00835,0.0,0.113,0.566,74.989
0.666,0.83,0,-5.715,1,0.0751,0.0123,0.0,0.191,0.702,113.03
0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967
0.664,0.714,7,-6.645,0,0.111,0.0353,8.42e-06,0.0843,0.71,101.969
0.503,0.843,10,-4.991,0,0.316,0.0487,0.0,0.344,0.778,128.63
0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803
0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977
0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786
0.594,0.749,3,-6.251,1,0.0677,0.00188,0.000139,0.0869,0.344,130.064
0.331,0.55,0,-6.483,1,0.0272,0.605,3.96e-06,0.192,0.429,177.734
0.712,0.967,7,-5.206,1,0.047,0.0771,0.0,0.356,0.895,145.024
0.415,0.931,5,-4.988,1,0.126,0.407,0.000501,0.114,0.339,97.953
0.495,0.868,6,-8.89,1,0.0548,0.00586,0.00139,0.111,0.273,101.346
0.26,0.636,6,-13.113,1,0.0461,0.213,1.58e-06,0.188,0.341,94.095
0.712,0.691,8,-8.157,1,0.128,0.122,0.0,0.0538,0.742,97.022
0.914,0.586,6,-8.435,0,0.33,0.00203,1.58e-06,0.0992,0.655,116.371
0.873,0.808,0,-6.729,0,0.0466,0.777,0.0,0.357,0.933,139.676
0.692,0.497,2,-7.316,1,0.119,0.676,0.0,0.259,0.475,81.308
0.552,0.947,2,-4.671,1,0.15,0.000652,0.00025,0.0637,0.465,127.631
0.472,0.9,8,-6.406,0,0.0582,0.148,0.000297,0.34,0.42,95.826
0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981
0.688,0.702,7,-4.792,0,0.0499,0.0215,0.0,0.128,0.74,94.006
0.776,0.867,3,-3.704,0,0.0479,0.0495,7.92e-06,0.197,0.918,138.827
0.771,0.687,11,-9.814,1,0.0693,0.0318,0.000225,0.89,0.783,118.392
0.774,0.753,4,-5.446,0,0.0517,0.152,0.0,0.0371,0.896,119.002
0.446,0.952,6,-5.321,1,0.0523,0.0901,0.0857,0.112,0.624,125.303
0.453,0.987,8,-4.485,1,0.0889,0.0195,0.283,0.268,0.316,123.544
0.268,0.98,11,-5.958,1,0.103,0.0192,0.00709,0.182,0.395,100.315
0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962
0.654,0.623,6,-5.273,0,0.082,0.253,0.0,0.144,0.401,123.996
0.268,0.459,10,-6.94,1,0.0346,0.378,0.0,0.118,0.175,64.177
0.638,0.924,7,-3.887,1,0.036,0.00205,0.000175,0.149,0.53,111.995
0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988
0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728
0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386
0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52
0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292
0.376,0.595,3,-5.936,1,0.0496,0.303,0.0,0.095,0.265,144.361
0.578,0.43,5,-6.134,0,0.0305,0.33,0.0,0.0854,0.288,78.991
0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993
0.612,0.749,0,-5.014,1,0.0446,0.615,0.0,0.167,0.574,120.052
0.73,0.769,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,104.948
0.5,0.748,4,-9.072,1,0.0363,0.127,0.0,0.447,0.514,118.852
0.9,0.845,11,-7.306,0,0.257,0.465,0.0,0.0724,0.914,111.187
0.715,0.655,0,-6.425,1,0.137,0.0525,0.0,0.115,0.531,95.078
0.927,0.367,9,-7.797,1,0.382,0.325,0.0,0.132,0.576,99.053
0.852,0.553,1,-7.286,1,0.187,0.0559,0.0,0.332,0.656,142.079
0.713,0.462,7,-10.027,1,0.123,0.192,2.16e-06,0.105,0.0594,133.053
0.794,0.653,7,-7.839,1,0.104,0.0489,4.88e-05,0.1,0.397,117.996
0.565,0.849,0,-3.516,0,0.0517,0.00868,4.68e-06,0.12,0.427,102.034
0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171
0.386,0.607,10,-7.7,1,0.0261,0.0112,1.38e-05,0.088,0.532,147.207
0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007
0.443,0.403,0,-8.339,1,0.0322,0.631,0.0,0.111,0.41,143.462
0.764,0.426,2,-11.045,1,0.0405,0.629,0.000119,0.132,0.726,131.12
0.626,0.512,1,-9.15,0,0.0247,0.155,4.65e-05,0.215,0.73,92.225
0.602,0.736,11,-6.51,0,0.0332,0.149,0.0,0.0776,0.819,94.931
0.66,0.557,1,-9.597,1,0.03,0.158,0.0,0.543,0.788,110.743
0.498,0.806,0,-5.284,1,0.0265,0.402,5.74e-06,0.525,0.664,99.396
0.38,0.988,1,-2.042,1,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113
0.546,0.814,7,-5.146,1,0.0314,0.023,0.0,0.0972,0.146,104.98
0.268,0.742,5,-4.939,1,0.0355,0.0518,0.0,0.626,0.416,159.779
0.77,0.496,11,-8.45,1,0.0468,0.719,0.0,0.123,0.571,117.331
0.583,0.695,9,-5.336,1,0.0423,0.0141,0.0,0.0527,0.224,104.879
